schema_version	profile	child_id	phase	size_bytes	schedule_cycle	ordinal	logical_request_id	attempt_id	activation_id	terminal_success	full_output_verified	activation_get_result_match	store_status	warm_eligible	valid_warm_candidate	analysis_selected	exclusion_reason	client_start_unix_ns	client_end_unix_ns	activation_get_unix_ns	db_start_unix_ns	db_finish_unix_ns	total_latency_ns	client_to_db_enter_ns	couchdb_save_ns	http_request_bytes	http_response_bytes	activation_get_response_bytes	application_input_bytes	application_input_sha256	application_output_bytes	application_output_sha256	profile_input_duration_ns	profile_workload_duration_ns	profile_output_duration_ns	profile_outer_duration_ns	guest_body_duration_cycles	shared_event_status	profile_timing_status	openwhisk_event_status	invoker_event_status	gateway_event_status	quality_complete
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	1024	1	1	1	1	0674cff8ac4e4c9bb4cff8ac4eac9b8c	true	true	true	put_acknowledged	false	false	false	warm_ineligible	1784948121647271904	1784948122402127525	1784948122647475275	1784948122451000064	1784948122486000128	838728224	803728160	35000064	1681	3888	18244	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301			4361054	124278	105360	complete	complete	complete	complete	complete	false
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	4096	1	2	2	1	ec057c17cc8f4cad857c17cc8f4cad1d	true	true	true	put_acknowledged	true	true	true		1784948122650396528	1784948122727812687	1784948122986757420	1784948122743000064	1784948122763000064	112603536	92603536	20000000	5777	7953	19538	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b			1715802	234375	406048	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	16384	1	3	3	1	878e4301fa944da58e4301fa940da5dc	true	true	true	put_acknowledged	true	true	true		1784948122989354263	1784948123099924009	1784948123352671771	1784948123114000128	1784948123141999872	152645609	124645865	27999744	22161	24337	52355	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db			3760841	870941	1692624	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	65536	1	4	4	1	2cd71edcd7974b5a971edcd7976b5aef	true	true	true	put_acknowledged	true	true	true		1784948123356246843	1784948123613566293	1784948123664378048	1784948123616000000	1784948123644000000	287753157	259753157	28000000	87697	89875	183606	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83			465371	20669335	44476722	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	262144	1	5	5	1	5a1cbcd08fbe4ef59cbcd08fbe4ef52b	true	true	true	put_acknowledged	true	true	true		1784948123671223686	1784948124011627042	1784948124327316992	1784948124029999872	1784948124072999936	401776250	358776186	43000064	349841	352020	708581	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb			3159366	43388524	90043735	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	1048576	1	6	6	1	9fbea31869ce4198bea31869ce01983a	true	true	true	put_acknowledged	true	true	true		1784948124384717512	1784948125161890860	1784948125638051871	1784948125160999936	1784948125309999872	925282360	776282424	148999936	1398417	1400599	2808438	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4			20711765	102214351	216080387	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	4194304	1	7	7	1	4b46e5274ed7434d86e5274ed7034dea	true	true	true	put_acknowledged	true	true	true		1784948125726741516	1784948128290589257	1784948129113973981	1784948127694999808	1784948128112000000	2385258484	1968258292	417000192	5592721	5594904	11207799	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047			19735833	207006247	427704823	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	1024	2	8	8	1	6182d3c428c84ffd82d3c428c88ffde6	true	true	true	put_acknowledged	true	true	true		1784948129349126951	1784948129424308222	1784948129454970977	1784948129403000064	1784948129423000064	73873113	53873113	20000000	1681	3856	11343	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301			572196	102755	107931	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	4096	2	9	9	1	7e176775736d402a976775736d602a05	true	true	true	put_acknowledged	true	true	true		1784948129462488209	1784948129513289235	1784948129764905168	1784948129515000064	1784948129543000064	80511855	52511855	28000000	5777	7951	19531	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b			473170	231646	405959	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	16384	2	10	10	1	7bff7b655f1b4482bf7b655f1bc48232	true	true	true	put_acknowledged	true	true	true		1784948129768205540	1784948129830321426	1784948129855946953	1784948129811000064	1784948129824999936	56794396	42794524	13999872	22161	24335	52349	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db			513373	814332	1625944	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	65536	2	11	11	1	eafd4a03ef2b4912bd4a03ef2bc91269	true	true	true	put_acknowledged	true	true	true		1784948129859784366	1784948129934940401	1784948129990821348	1784948129924000000	1784948129948999936	89215570	64215634	24999936	87697	89873	183594	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83			465247	3177650	5883896	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	262144	2	12	12	1	f7efdd136ae540e4afdd136ae570e4e9	true	true	true	put_acknowledged	true	true	true		1784948130004618877	1784948130226304938	1784948130320945189	1784948130173000192	1784948130211000064	206381187	168381315	37999872	349841	352020	708574	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb			1491426	12699926	25612486	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	1048576	2	13	13	1	0269ef6072fe485ca9ef6072fed85ccd	true	true	true	put_acknowledged	true	true	true		1784948130345717285	1784948130948775435	1784948131299496623	1784948130804000000	1784948130901999872	556282587	458282715	97999872	1398417	1400597	2808426	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4			4921601	52648428	106743535	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	4194304	2	14	14	1	abaf8defe6374da9af8defe6373da92d	true	true	true	put_acknowledged	true	true	true		1784948131426090559	1784948133598919946	1784948134431895828	1784948133181999872	1784948133544000000	2117909441	1755909313	362000128	5592721	5594903	11207797	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047			17362541	200739843	414327321	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	1024	3	15	15	1	1bd07a1a9169430a907a1a9169030a45	true	true	true	put_acknowledged	true	true	true		1784948134587605498	1784948134640806773	1784948134657086647	1784948134627000064	1784948134638000128	50394630	39394566	11000064	1681	3854	11333	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301			523977	87718	107774	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	4096	3	16	16	1	0cd5f37f665a412c95f37f665a312c3b	true	true	true	put_acknowledged	true	true	true		1784948134667536492	1784948134722398408	1784948134750148149	1784948134720999936	1784948134732000000	64463508	53463444	11000064	5777	7952	19532	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b			538728	295124	453324	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	16384	3	17	17	1	df81c8637315494981c8637315d949f5	true	true	true	put_acknowledged	true	true	true		1784948134753488703	1784948134806269467	1784948134833898858	1784948134808999936	1784948134816999936	63511233	55511233	8000000	22161	24335	52349	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db			313873	791179	1490471	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	65536	3	18	18	1	67c44d219b18420f844d219b18120f53	true	true	true	put_acknowledged	true	true	true		1784948134838450910	1784948134929229308	1784948134965759771	1784948134914000128	1784948134937999872	99548962	75549218	23999744	87697	89873	183594	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83			655437	3448463	6439329	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	262144	3	19	19	1	7f43ccef6e1348c283ccef6e1398c2f3	true	true	true	put_acknowledged	true	true	true		1784948134975020839	1784948135201805421	1784948135303902005	1784948135160999936	1784948135224999936	249979097	185979097	64000000	349841	352020	708572	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb			1580620	12966291	26190963	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	1048576	3	20	20	1	2ab5c6565b5d411db5c6565b5d611d7b	true	true	true	put_acknowledged	true	true	true		1784948135338592767	1784948135891768819	1784948136358404457	1784948135835000064	1784948135940999936	602407169	496407297	105999872	1398417	1400597	2808426	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4			4941726	52406067	106562708	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	4194304	3	21	21	1	da47482e40f744e187482e40f764e1c0	true	true	true	put_acknowledged	true	true	true		1784948136506346689	1784948138729489351	1784948139692077112	1784948138352000000	1784948138776999936	2270653247	1845653311	424999936	5592721	5594904	11207796	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047			18056144	205211055	424476358	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	1024	4	22	22	1	b01f70d9bdad43c09f70d9bdad43c023	true	true	true	put_acknowledged	true	true	true		1784948139842912956	1784948139920548484	1784948139957669630	1784948139896000000	1784948139910000128	67087172	53087044	14000128	1681	3855	11341	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301			576207	130219	148308	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	4096	4	23	23	1	a892550d9915478f92550d9915478f19	true	true	true	put_acknowledged	true	true	true		1784948139971254534	1784948140053047203	1784948140084364309	1784948140029999872	1784948140048999936	77745402	58745338	19000064	5777	7951	19533	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b			580384	246811	409352	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	16384	4	24	24	1	d10981ef1d8e4a158981ef1d8eba15eb	true	true	true	put_acknowledged	true	true	true		1784948140088300619	1784948140188849024	1784948140228590885	1784948140163000064	1784948140173000192	84699573	74699445	10000128	22161	24336	52354	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db			564272	875668	1744070	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	65536	4	25	25	1	ae05dc5f7bd0418a85dc5f7bd0218a96	true	true	true	put_acknowledged	true	true	true		1784948140232785477	1784948140313818609	1784948140385091274	1784948140293999872	1784948140306999808	74214331	61214395	12999936	87697	89873	183596	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83			671105	3424901	6403512	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	262144	4	26	26	1	80eb6b71344948fdab6b713449c8fd99	true	true	true	put_acknowledged	true	true	true		1784948140401119403	1784948140624602562	1784948140931307725	1784948140608000000	1784948140657999872	256880469	206880597	49999872	349841	352020	708574	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb			1174203	12618286	25593059	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	1048576	4	27	27	1	23b57c0b1f304bfab57c0b1f305bfaef	true	true	true	put_acknowledged	true	true	true		1784948140970810563	1784948141565100140	1784948141960387518	1784948141424999936	1784948141532000000	561189437	454189373	107000064	1398417	1400597	2808426	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4			3235847	50280699	102332702	complete	complete	complete	complete	complete	true
e3-v2-reusable-attempt-v1	reusable-concurrency	round-365	measured	4194304	4	28	28	1	0c5e574b569b46f69e574b569bd6f62d	true	true	true	put_acknowledged	true	true	true		1784948142127322189	1784948144248744812	1784948145191566382	1784948143840000000	1784948144312000000	2184677811	1712677811	472000000	5592721	5594903	11207797	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047			11845031	201337829	416832062	complete	complete	complete	complete	complete	true
