profile	phase	size_bytes	schedule_cycle	ordinal	logical_request_id	attempt_id	activation_id	terminal_success	full_output_verified	verification_status	application_input_bytes	application_input_sha256	application_output_bytes	application_output_sha256	expected_rid	actual_rid	rid_status	decrypt_status	source_input_envelope_bytes	c_out_bytes	ct_bytes	warm_eligible	warm_reason	payload_evidence_status	direct_timing_status
reusable-concurrency	measured	1024	1	1	1	1	0674cff8ac4e4c9bb4cff8ac4eac9b8c	true	true	ok	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301	e09a9aad7d9a53351804f1a81fa701797fb1754512a6ffa6410606a308b34497	e09a9aad7d9a53351804f1a81fa701797fb1754512a6ffa6410606a308b34497	match	ok	1209	1052	65	unavailable	requires_RG270_warmed	complete_byte_match	complete
reusable-concurrency	measured	4096	1	2	2	1	ec057c17cc8f4cad857c17cc8f4cad1d	true	true	ok	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b	48f1aad3ab7a9b82452f07c8921719912b4809deb7030611d541e068ac1cff9e	48f1aad3ab7a9b82452f07c8921719912b4809deb7030611d541e068ac1cff9e	match	ok	4281	4124	65	unavailable	requires_RG270_warmed	complete_byte_match	complete
reusable-concurrency	measured	16384	1	3	3	1	878e4301fa944da58e4301fa940da5dc	true	true	ok	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db	d1e49a116349471f3b87da314ed4a10ddf3c6edbc06931dac9fd7fda2f4ab95c	d1e49a116349471f3b87da314ed4a10ddf3c6edbc06931dac9fd7fda2f4ab95c	match	ok	16569	16412	65	unavailable	requires_RG270_warmed	complete_byte_match	complete
reusable-concurrency	measured	65536	1	4	4	1	2cd71edcd7974b5a971edcd7976b5aef	true	true	ok	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83	864ffb9819d81d130827eef6fe13f4f7166c735d5a51cd973a42620d7bd7b2bb	864ffb9819d81d130827eef6fe13f4f7166c735d5a51cd973a42620d7bd7b2bb	match	ok	65721	65564	65	unavailable	requires_RG270_warmed	complete_byte_match	complete
reusable-concurrency	measured	262144	1	5	5	1	5a1cbcd08fbe4ef59cbcd08fbe4ef52b	true	true	ok	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb	0ba25f18487f34e151cbd5db26858ecae4a854fcf8095c1fc6aacc52d429f365	0ba25f18487f34e151cbd5db26858ecae4a854fcf8095c1fc6aacc52d429f365	match	ok	262329	262172	65	unavailable	requires_RG270_warmed	complete_byte_match	complete
reusable-concurrency	measured	1048576	1	6	6	1	9fbea31869ce4198bea31869ce01983a	true	true	ok	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4	f5216e021d08f787094e668532f3d9a92210c7f44d98216ccfb92ada0e2903aa	f5216e021d08f787094e668532f3d9a92210c7f44d98216ccfb92ada0e2903aa	match	ok	1048761	1048604	65	unavailable	requires_RG270_warmed	complete_byte_match	complete
reusable-concurrency	measured	4194304	1	7	7	1	4b46e5274ed7434d86e5274ed7034dea	true	true	ok	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047	78ea2eb32d5b0dafd5c6c5ac3d0a1424cdbde709ce4bf95fb51854ec2ac5991c	78ea2eb32d5b0dafd5c6c5ac3d0a1424cdbde709ce4bf95fb51854ec2ac5991c	match	ok	4194489	4194332	65	unavailable	requires_RG270_warmed	complete_byte_match	complete
reusable-concurrency	measured	1024	2	8	8	1	6182d3c428c84ffd82d3c428c88ffde6	true	true	ok	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301	fbd9d41cd4b8468c3d1268ad31408b04b5547685c2514c7d36041f1244bc3106	fbd9d41cd4b8468c3d1268ad31408b04b5547685c2514c7d36041f1244bc3106	match	ok	1209	1052	65	unavailable	requires_RG270_warmed	complete_byte_match	complete
reusable-concurrency	measured	4096	2	9	9	1	7e176775736d402a976775736d602a05	true	true	ok	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b	7cc2651802475efe5aaf2db64eae8694654776010fe2b75a64fbdd8dc2f046c4	7cc2651802475efe5aaf2db64eae8694654776010fe2b75a64fbdd8dc2f046c4	match	ok	4281	4124	65	unavailable	requires_RG270_warmed	complete_byte_match	complete
reusable-concurrency	measured	16384	2	10	10	1	7bff7b655f1b4482bf7b655f1bc48232	true	true	ok	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db	a8764d90d1c6abd7caf411da208484938bec6c2ffc44c6a46fed78d63bc61a57	a8764d90d1c6abd7caf411da208484938bec6c2ffc44c6a46fed78d63bc61a57	match	ok	16569	16412	65	unavailable	requires_RG270_warmed	complete_byte_match	complete
